Category,file_type,perc_number
MLOps/ AIOps,PEP,6.7266
MLOps/ AIOps,PEP,2.8376
MLOps/ AIOps,PEP,23.3506
MLOps/ AIOps,C/C++,11.5835
MLOps/ AIOps,C/C++,5.6755
MLOps/ AIOps,C/C++,8.6773
MLOps/ AIOps,C/C++,3.4915
MLOps/ AIOps,C/C++,20.9232
MLOps/ AIOps,C/C++,5.8928
MLOps/ AIOps,C/C++,9.2192
MLOps/ AIOps,C/C++,14.1364
MLOps/ AIOps,C/C++,15.0636
MLOps/ AIOps,C/C++,20.1875
MLOps/ AIOps,C/C++,12.84
MLOps/ AIOps,C/C++,1.6499
MLOps/ AIOps,C/C++,11.8043
MLOps/ AIOps,C/C++,31.6686
MLOps/ AIOps,C/C++,0.0734
MLOps/ AIOps,C/C++,1.58
MLOps/ AIOps,C/C++,35.3671
MLOps/ AIOps,C/C++,21.5455
MLOps/ AIOps,C/C++,10.7989
MLOps/ AIOps,C/C++,12.915
MLOps/ AIOps,C/C++,11.3743
MLOps/ AIOps,C/C++,6.1718
MLOps/ AIOps,C/C++,14.1574
MLOps/ AIOps,C/C++,3.167
MLOps/ AIOps,C/C++,30.5054
MLOps/ AIOps,C/C++,14.8527
MLOps/ AIOps,C/C++,11.7178
MLOps/ AIOps,C/C++,0.7515
MLOps/ AIOps,C/C++,3.9937
MLOps/ AIOps,C/C++,7.1138
MLOps/ AIOps,C/C++,8.3188
MLOps/ AIOps,C/C++,0.6171
MLOps/ AIOps,C/C++,24.7236
MLOps/ AIOps,C/C++,19.209
MLOps/ AIOps,C/C++,9.0008
MLOps/ AIOps,C/C++,28.7732
MLOps/ AIOps,C/C++,11.269
MLOps/ AIOps,C/C++,6.0758
MLOps/ AIOps,C/C++,6.7505
MLOps/ AIOps,C/C++,8.202
MLOps/ AIOps,C/C++,8.3213
MLOps/ AIOps,C/C++,0.7128
MLOps/ AIOps,C/C++,0.1231
MLOps/ AIOps,C/C++,7.6115
MLOps/ AIOps,C/C++,0.7761
MLOps/ AIOps,C/C++,14.449
MLOps/ AIOps,C/C++,9.3986
MLOps/ AIOps,C/C++,10.4257
MLOps/ AIOps,C/C++,1.0714
MLOps/ AIOps,C/C++,24.1556
