Category,image,metrics,layer_size
DL Framwork,determinedai/determined-agent,FLS,126.78
DL Framwork,determinedai/determined-agent,CLS,35.92
DL Framwork,determinedai/determined-agent,CLS,89.2
DL Framwork,determinedai/determined-agent,CLS,89.2
DL Framwork,stablebaselines/rl-baselines3-zoo-cpu,FLS,7.54
DL Framwork,stablebaselines/rl-baselines3-zoo,FLS,17.45
DL Framwork,stablebaselines/rl-baselines3-zoo,CLS,3.8
DL Framwork,stablebaselines/rl-baselines3-zoo,CLS,1.85
DL Framwork,eaplatanios/tensorflow_scala,FLS,19.24
DL Framwork,eaplatanios/tensorflow_scala,CLS,5.37
DL Framwork,nnfusion/pytorch,FLS,17.23
DL Framwork,nnfusion/pytorch,CLS,3.98
DL Framwork,tlkh/ai-lab,FLS,9.06
DL Framwork,tlkh/ai-lab,CLS,2.6
DL Framwork,pyhf/pyhf,FLS,441.08
DL Framwork,pyhf/pyhf,CLS,133.75
DL Framwork,takuseno/d3rlpy,FLS,36.91
DL Framwork,takuseno/d3rlpy,CLS,7.71
DL Framwork,vanvalenlab/deepcell-tf,FLS,3.06
DL Framwork,vanvalenlab/deepcell-tf,CLS,1.07
DL Framwork,spiceai/spiceai,FLS,4.15
DL Framwork,spiceai/spiceai,CLS,1.13
DL Framwork,diegoferigo/gym-ignition,FLS,3.1
DL Framwork,diegoferigo/gym-ignition,CLS,788.46
DL Framwork,datamachines/cuda_tensorflow_opencv,FLS,14.94
DL Framwork,datamachines/tensorflow_opencv,FLS,6.31
DL Framwork,datamachines/tensorflow_opencv,CLS,1.26
DL Framwork,datamachines/tensorflow_opencv,CLS,4.11
DL Framwork,bluefoglib/bluefog,FLS,11.22
DL Framwork,bluefoglib/bluefog,CLS,5.26
Documentation,justheuristic/practical_rl,FLS,128.0
Documentation,justheuristic/practical_rl,CLS,1.57
Documentation,0xbadb100d/computervision-recipes,FLS,128.03
Documentation,0xbadb100d/computervision-recipes,CLS,6.83
Documentation,prabhuomkar/pytorch-cpp,FLS,4.75
Documentation,prabhuomkar/pytorch-cpp,CLS,698.07
Documentation,tnarihi/nnabla-examples,FLS,9.53
Documentation,tnarihi/nnabla-examples,CLS,2.19
Toolkit,snoe925/lightgbm,FLS,5.55
Toolkit,snoe925/lightgbm,CLS,1.52
Toolkit,pymc/pymc3,FLS,3.7
Toolkit,pymc/pymc3,CLS,1.56
Toolkit,yueguoguo/xlearn,FLS,5.54
Toolkit,yueguoguo/xlearn,CLS,427.11
Toolkit,rapidsai/rapidsai-nightly,FLS,20.09
Toolkit,rapidsai/rapidsai,FLS,21.39
Toolkit,rapidsai/rapidsai,CLS,5.96
Toolkit,rapidsai/rapidsai,CLS,5.74
Toolkit,sepandhaghighi/pycm,FLS,128.0
Toolkit,sepandhaghighi/pycm,CLS,190.78
Toolkit,rgfteam/rgf,FLS,128.0
Toolkit,rgfteam/rgf,CLS,652.95
Toolkit,heidelbergcementds/hcrystalball,FLS,4.05
Toolkit,heidelbergcementds/hcrystalball,CLS,886.52
Toolkit,envest/rnaseq_titration_results,FLS,5.43
Toolkit,envest/rnaseq_titration_results,CLS,1.75
Toolkit,ikholopov/catboost-node-package-e2e-base,FLS,372.28
Toolkit,ikholopov/catboost-node-package-e2e-base,CLS,124.98
Toolkit,stellargraph/stellargraph,FLS,1.91
Toolkit,stellargraph/stellargraph,CLS,610.7
Toolkit,vearch/vearch,FLS,476.36
Toolkit,vearch/vearch,CLS,145.86
Toolkit,turinglang/turing,FLS,1003.58
Toolkit,turinglang/turing,CLS,221.36
Toolkit,reiinakano/xcessiv,FLS,1.41
Toolkit,reiinakano/xcessiv,CLS,366.87
Toolkit,openmined/tenseal,FLS,4.86
Toolkit,openmined/tenseal,CLS,2.08
Toolkit,nlpodyssey/spago,FLS,21.61
Toolkit,nlpodyssey/spago,CLS,10.61
Toolkit,xaynetwork/xaynet,FLS,366.57
Toolkit,xaynetwork/xaynet,CLS,97.46
MLOps/ AIOps,kubeflow/kubeflow-triage,FLS,1.63
MLOps/ AIOps,kubeflow/kubeflow-triage,CLS,394.59
MLOps/ AIOps,land007/tfjs-node,FLS,4.52
MLOps/ AIOps,land007/tfjs-node,CLS,463.16
MLOps/ AIOps,greatexpectations/great_expectations,FLS,2.68
MLOps/ AIOps,greatexpectations/great_expectations,CLS,1.2
MLOps/ AIOps,eugenefedorenko/mlopspython,FLS,1.19
MLOps/ AIOps,eugenefedorenko/mlopspython,CLS,462.73
MLOps/ AIOps,snapbuy/triton-inference-server,FLS,21.03
MLOps/ AIOps,snapbuy/triton-inference-server,CLS,3.46
MLOps/ AIOps,quantumblacklabs/kedro_builder,FLS,5.85
MLOps/ AIOps,quantumblacklabs/kedro_builder,CLS,1.91
MLOps/ AIOps,nipreps/fmriprep,FLS,36.94
MLOps/ AIOps,nipreps/fmriprep,CLS,5.49
MLOps/ AIOps,awsdeeplearningteam/multi-model-server,FLS,1012.14
MLOps/ AIOps,awsdeeplearningteam/multi-model-server,CLS,311.65
MLOps/ AIOps,selitvin/petastorm_ci_auto,FLS,12.0
MLOps/ AIOps,selitvin/petastorm_ci_auto,CLS,5.63
MLOps/ AIOps,awsdlcontainermirror/tensorflow-training,FLS,128.0
MLOps/ AIOps,awsdlcontainermirror/tensorflow-training,CLS,1.2
MLOps/ AIOps,universaldatatool/universaldatatool,FLS,3.69
MLOps/ AIOps,universaldatatool/universaldatatool,CLS,1.39
MLOps/ AIOps,flyteorg/flytesnacks,FLS,1.27
MLOps/ AIOps,flyteorg/flytesnacks,CLS,462.08
MLOps/ AIOps,kubeflow/mpi-operator,FLS,50.8
MLOps/ AIOps,kubeflow/mpi-operator,CLS,18.65
MLOps/ AIOps,wisechang1/nnstreamer,FLS,256.0
MLOps/ AIOps,wisechang1/nnstreamer,CLS,103.61
MLOps/ AIOps,nabeeloz/qlik-py-tools,FLS,2.99
MLOps/ AIOps,nabeeloz/qlik-py-tools,CLS,944.12
MLOps/ AIOps,redislabs/redisai,FLS,2.09
MLOps/ AIOps,redislabs/redisai,CLS,503.12
MLOps/ AIOps,rscohn2/oneapi-spec,FLS,8.11
MLOps/ AIOps,rscohn2/oneapi-spec,CLS,1.18
MLOps/ AIOps,intel/video-analytics-serving,FLS,3.64
MLOps/ AIOps,intel/video-analytics-serving,CLS,930.25
MLOps/ AIOps,allegroai/clearml-agent,FLS,5.67
MLOps/ AIOps,allegroai/clearml-agent,CLS,1.92
MLOps/ AIOps,petuum/adaptdl-sched,FLS,2.08
MLOps/ AIOps,petuum/adaptdl-sched,CLS,528.96
MLOps/ AIOps,imjoy/imjoy-app-engine,FLS,1.83
MLOps/ AIOps,imjoy/imjoy-app-engine,CLS,404.7
MLOps/ AIOps,aniketmaurya/chitra,FLS,2.38
MLOps/ AIOps,aniketmaurya/chitra,CLS,575.93
MLOps/ AIOps,montyvesselinov/madsjulia,FLS,2.08
MLOps/ AIOps,montyvesselinov/madsjulia,CLS,576.38
MLOps/ AIOps,nipreps/smriprep,FLS,17.82
MLOps/ AIOps,nipreps/smriprep,CLS,5.38
MLOps/ AIOps,hetao2019/kleveross-model-registr,FLS,155.97
MLOps/ AIOps,hetao2019/kleveross-model-registr,CLS,55.87
MLOps/ AIOps,ppl521/paddle-operator,FLS,2.36
MLOps/ AIOps,ppl521/paddle-operator,CLS,1.15
MLOps/ AIOps,zazrivec/dcos-jupyterlab-service,FLS,11.87
MLOps/ AIOps,zazrivec/dcos-jupyterlab-service,CLS,2.62
MLOps/ AIOps,geekjr/quickai,FLS,4.74
MLOps/ AIOps,geekjr/quickai,CLS,1.27
MLOps/ AIOps,paperspace/gradient-base,FLS,6.66
MLOps/ AIOps,paperspace/gradient-base,CLS,2.27
MLOps/ AIOps,indigodatacloud/deepaas,FLS,816.71
MLOps/ AIOps,indigodatacloud/deepaas,CLS,169.67
MLOps/ AIOps,cortexlabs/neuron-scheduler,FLS,821.45
MLOps/ AIOps,cortexlabs/autoscaler,FLS,63.66
MLOps/ AIOps,cortexlabs/grafana,FLS,204.04
MLOps/ AIOps,cortexlabs/istio-pilot,FLS,229.65
MLOps/ AIOps,cortexlabs/nvidia-device-plugin,FLS,261.02
MLOps/ AIOps,cortexlabs/istio-proxy,FLS,288.63
MLOps/ AIOps,cortexlabs/controller-manager,FLS,91.5
MLOps/ AIOps,cortexlabs/cluster-autoscaler,FLS,135.33
MLOps/ AIOps,cortexlabs/operator,FLS,189.67
MLOps/ AIOps,cortexlabs/manager,FLS,412.09
MLOps/ AIOps,cortexlabs/event-exporter,FLS,84.1
