Topic,Repos,Tag,TagID,Metrics,composition,total
model,IntelAI/models,v1.3.1,5,Permissions,16.73,415
model,IntelAI/models,v1.3.1,5,Environment,0.48,12
model,IntelAI/models,v1.3.1,5,Build/Execute,24.3,603
model,IntelAI/models,v1.3.1,5,Filesystem,16.53,410
model,IntelAI/models,v1.4.0,6,Dependencies,41.96,1041
model,IntelAI/models,v1.4.0,6,Permissions,16.73,415
model,IntelAI/models,v1.4.0,6,Environment,0.48,12
model,IntelAI/models,v1.4.0,6,Build/Execute,24.3,603
model,IntelAI/models,v1.4.0,6,Filesystem,16.53,410
model,IntelAI/models,v1.4.1,7,Dependencies,41.96,1041
model,IntelAI/models,v1.4.1,7,Permissions,16.73,415
model,IntelAI/models,v1.4.1,7,Environment,0.48,12
model,IntelAI/models,v1.4.1,7,Build/Execute,24.3,603
model,IntelAI/models,v1.4.1,7,Filesystem,16.53,410
model,IntelAI/models,v1.5.0,8,Dependencies,41.96,1041
model,IntelAI/models,v1.5.0,8,Permissions,16.73,415
model,IntelAI/models,v1.5.0,8,Environment,0.48,12
model,IntelAI/models,v1.5.0,8,Build/Execute,24.3,603
model,IntelAI/models,v1.5.0,8,Filesystem,16.53,410
model,IntelAI/models,v1.6.0,9,Dependencies,41.96,1041
model,IntelAI/models,v1.6.0,9,Permissions,16.73,415
model,IntelAI/models,v1.6.0,9,Environment,0.48,12
model,IntelAI/models,v1.6.0,9,Build/Execute,24.3,603
model,IntelAI/models,v1.6.0,9,Filesystem,16.53,410
model,IntelAI/models,v1.6.1,10,Dependencies,41.96,1041
model,IntelAI/models,v1.6.1,10,Permissions,16.73,415
model,IntelAI/models,v1.6.1,10,Environment,0.48,12
model,IntelAI/models,v1.6.1,10,Build/Execute,24.3,603
model,IntelAI/models,v1.6.1,10,Filesystem,16.53,410
model,IntelAI/models,v1.6.0.1,11,Dependencies,41.96,1041
model,IntelAI/models,v1.6.0.1,11,Permissions,16.73,415
model,IntelAI/models,v1.6.0.1,11,Environment,0.48,12
model,IntelAI/models,v1.6.0.1,11,Build/Execute,24.3,603
model,IntelAI/models,v1.6.0.1,11,Filesystem,16.53,410
model,IntelAI/models,v1.8.0,12,Dependencies,41.96,1041
model,IntelAI/models,v1.8.0,12,Permissions,16.73,415
model,IntelAI/models,v1.8.0,12,Environment,0.48,12
model,IntelAI/models,v1.8.0,12,Build/Execute,24.3,603
model,IntelAI/models,v1.8.0,12,Filesystem,16.53,410
model,IntelAI/models,v1.8.1,13,Dependencies,41.96,1041
model,IntelAI/models,v1.8.1,13,Permissions,16.73,415
model,IntelAI/models,v1.8.1,13,Environment,0.48,12
model,IntelAI/models,v1.8.1,13,Build/Execute,24.3,603
model,IntelAI/models,v1.8.1,13,Filesystem,16.53,410
model,IntelAI/models,v2.0.0,14,Dependencies,41.96,1041
model,IntelAI/models,v2.0.0,14,Permissions,16.73,415
model,IntelAI/models,v2.0.0,14,Environment,0.48,12
model,IntelAI/models,v2.0.0,14,Build/Execute,24.3,603
model,IntelAI/models,v2.0.0,14,Filesystem,16.53,410
model,IntelAI/models,v2.1.0,15,Dependencies,41.96,1041
model,IntelAI/models,v2.1.0,15,Permissions,16.73,415
model,IntelAI/models,v2.1.0,15,Environment,0.48,12
model,IntelAI/models,v2.1.0,15,Build/Execute,24.3,603
model,IntelAI/models,v2.1.0,15,Filesystem,16.53,410
model,IntelAI/models,v2.1.0-icx,16,Dependencies,41.96,1041
model,IntelAI/models,v2.1.0-icx,16,Permissions,16.73,415
model,IntelAI/models,v2.1.0-icx,16,Environment,0.48,12
model,IntelAI/models,v2.1.0-icx,16,Build/Execute,24.3,603
model,IntelAI/models,v2.1.0-icx,16,Filesystem,16.53,410
model,IntelAI/models,v2.1.1,17,Dependencies,41.96,1041
model,IntelAI/models,v2.1.1,17,Permissions,16.73,415
model,IntelAI/models,v2.1.1,17,Environment,0.48,12
model,IntelAI/models,v2.1.1,17,Build/Execute,24.3,603
model,IntelAI/models,v2.1.1,17,Filesystem,16.53,410
model,IntelAI/models,v2.2.0,18,Dependencies,41.96,1041
model,IntelAI/models,v2.2.0,18,Permissions,16.73,415
model,IntelAI/models,v2.2.0,18,Environment,0.48,12
model,IntelAI/models,v2.2.0,18,Build/Execute,24.3,603
model,IntelAI/models,v2.2.0,18,Filesystem,16.53,410
model,IntelAI/models,v2.3.0,19,Dependencies,41.96,1041
model,IntelAI/models,v2.3.0,19,Permissions,16.73,415
model,IntelAI/models,v2.3.0,19,Environment,0.48,12
model,IntelAI/models,v2.3.0,19,Build/Execute,24.3,603
model,IntelAI/models,v2.3.0,19,Filesystem,16.53,410
model,IntelAI/models,v2.4.0,20,Dependencies,41.96,1041
model,IntelAI/models,v2.4.0,20,Permissions,16.73,415
model,IntelAI/models,v2.4.0,20,Environment,0.48,12
model,IntelAI/models,v2.4.0,20,Build/Execute,24.3,603
model,IntelAI/models,v2.4.0,20,Filesystem,16.53,410
model,IntelAI/models,v2.5.0,21,Dependencies,41.96,1041
model,IntelAI/models,v2.5.0,21,Permissions,16.73,415
model,IntelAI/models,v2.5.0,21,Environment,0.48,12
model,IntelAI/models,v2.5.0,21,Build/Execute,24.3,603
model,IntelAI/models,v2.5.0,21,Filesystem,16.53,410
model,alexandrainst/danlp,v0.0.1,0,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.1,0,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.1,0,Environment,0.0,0
model,alexandrainst/danlp,v0.0.1,0,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.1,0,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.2,1,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.2,1,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.2,1,Environment,0.0,0
model,alexandrainst/danlp,v0.0.2,1,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.2,1,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.3,2,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.3,2,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.3,2,Environment,0.0,0
model,alexandrainst/danlp,v0.0.3,2,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.3,2,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.4,3,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.4,3,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.4,3,Environment,0.0,0
model,alexandrainst/danlp,v0.0.4,3,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.4,3,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.5,4,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.5,4,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.5,4,Environment,0.0,0
model,alexandrainst/danlp,v0.0.5,4,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.5,4,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.6,5,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.6,5,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.6,5,Environment,0.0,0
model,alexandrainst/danlp,v0.0.6,5,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.6,5,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.8,6,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.8,6,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.8,6,Environment,0.0,0
model,alexandrainst/danlp,v0.0.8,6,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.8,6,Filesystem,0.0,0
model,alexandrainst/danlp,v.0.0.9,7,Dependencies,50.0,1
model,alexandrainst/danlp,v.0.0.9,7,Permissions,0.0,0
model,alexandrainst/danlp,v.0.0.9,7,Environment,0.0,0
model,alexandrainst/danlp,v.0.0.9,7,Build/Execute,50.0,1
model,alexandrainst/danlp,v.0.0.9,7,Filesystem,0.0,0
model,alexandrainst/danlp,v.0.0.10,8,Dependencies,50.0,1
model,alexandrainst/danlp,v.0.0.10,8,Permissions,0.0,0
