repos,repo_version,filename,instructions,instructions_count
ultralytics/yolov3,latest,/Dockerfile,RUN,6
ultralytics/yolov3,latest,/Dockerfile,ADD,1
ultralytics/yolov3,latest,/Dockerfile,WORKDIR,1
ultralytics/yolov3,latest,/Dockerfile,FROM,1
nagadomi/waifu2x,latest,/Dockerfile,COPY,1
nagadomi/waifu2x,latest,/Dockerfile,RUN,2
nagadomi/waifu2x,latest,/Dockerfile,ENV,1
nagadomi/waifu2x,latest,/Dockerfile,WORKDIR,1
nagadomi/waifu2x,latest,/Dockerfile,FROM,1
allenai/allennlp,latest,/Dockerfile.test,COPY,4
allenai/allennlp,latest,/Dockerfile.test,RUN,3
allenai/allennlp,latest,/Dockerfile.test,ENV,2
allenai/allennlp,latest,/Dockerfile.test,ENTRYPOINT,1
allenai/allennlp,latest,/Dockerfile.test,ARG,1
allenai/allennlp,latest,/Dockerfile.test,WORKDIR,1
allenai/allennlp,latest,/Dockerfile.test,FROM,1
allenai/allennlp,latest,/Dockerfile,COPY,5
allenai/allennlp,latest,/Dockerfile,RUN,4
allenai/allennlp,latest,/Dockerfile,LABEL,1
allenai/allennlp,latest,/Dockerfile,ENTRYPOINT,1
allenai/allennlp,latest,/Dockerfile,ARG,1
allenai/allennlp,latest,/Dockerfile,WORKDIR,2
allenai/allennlp,latest,/Dockerfile,FROM,1
hanxiao/bert-as-service,latest,/docker/Dockerfile,HEALTHCHECK,1
hanxiao/bert-as-service,latest,/docker/Dockerfile,CMD,1
hanxiao/bert-as-service,latest,/docker/Dockerfile,COPY,1
hanxiao/bert-as-service,latest,/docker/Dockerfile,RUN,2
hanxiao/bert-as-service,latest,/docker/Dockerfile,ENTRYPOINT,1
hanxiao/bert-as-service,latest,/docker/Dockerfile,WORKDIR,1
hanxiao/bert-as-service,latest,/docker/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/testing/Dockerfile,COPY,1
kubeflow/kubeflow,latest,/testing/Dockerfile,MAINTAINER,1
kubeflow/kubeflow,latest,/testing/Dockerfile,RUN,1
kubeflow/kubeflow,latest,/testing/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/testing/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/crud-web-apps/volumes/Dockerfile,COPY,17
kubeflow/kubeflow,latest,/components/crud-web-apps/volumes/Dockerfile,RUN,8
kubeflow/kubeflow,latest,/components/crud-web-apps/volumes/Dockerfile,ENV,2
kubeflow/kubeflow,latest,/components/crud-web-apps/volumes/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/crud-web-apps/volumes/Dockerfile,WORKDIR,5
kubeflow/kubeflow,latest,/components/crud-web-apps/volumes/Dockerfile,FROM,4
kubeflow/kubeflow,latest,/components/crud-web-apps/jupyter/Dockerfile,COPY,17
kubeflow/kubeflow,latest,/components/crud-web-apps/jupyter/Dockerfile,RUN,8
kubeflow/kubeflow,latest,/components/crud-web-apps/jupyter/Dockerfile,ENV,2
kubeflow/kubeflow,latest,/components/crud-web-apps/jupyter/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/crud-web-apps/jupyter/Dockerfile,WORKDIR,5
kubeflow/kubeflow,latest,/components/crud-web-apps/jupyter/Dockerfile,FROM,4
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile.dockerignore,!TENSORBOARDS/,1
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile.dockerignore,**/NODE_MODULES/*,1
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile.dockerignore,**,1
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile.dockerignore,!COMMON/,1
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile,COPY,12
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile,RUN,8
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile,WORKDIR,5
kubeflow/kubeflow,latest,/components/crud-web-apps/tensorboards/Dockerfile,FROM,4
kubeflow/kubeflow,latest,/components/admission-webhook/Dockerfile,COPY,3
kubeflow/kubeflow,latest,/components/admission-webhook/Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/admission-webhook/Dockerfile,ENV,1
kubeflow/kubeflow,latest,/components/admission-webhook/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/admission-webhook/Dockerfile,ARG,1
kubeflow/kubeflow,latest,/components/admission-webhook/Dockerfile,WORKDIR,2
kubeflow/kubeflow,latest,/components/admission-webhook/Dockerfile,FROM,2
kubeflow/kubeflow,latest,/components/profile-controller/Dockerfile,COPY,9
kubeflow/kubeflow,latest,/components/profile-controller/Dockerfile,EXPOSE,1
kubeflow/kubeflow,latest,/components/profile-controller/Dockerfile,RUN,3
kubeflow/kubeflow,latest,/components/profile-controller/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/profile-controller/Dockerfile,ARG,1
kubeflow/kubeflow,latest,/components/profile-controller/Dockerfile,WORKDIR,2
kubeflow/kubeflow,latest,/components/profile-controller/Dockerfile,FROM,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch-full/cpu.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch-full/cpu.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch-full/cpu.Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch-full/cuda.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch-full/cuda.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch-full/cuda.Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,COPY,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,USER,4
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,EXPOSE,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,RUN,8
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,ENV,4
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,ARG,9
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver/Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver/Dockerfile,USER,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver/Dockerfile,EXPOSE,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver/Dockerfile,RUN,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver/Dockerfile,ARG,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cpu.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cpu.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cpu.Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile,SHELL,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile,USER,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile,RUN,6
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile,ENV,6
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile,ARG,6
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver-python/Dockerfile,COPY,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver-python/Dockerfile,USER,4
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver-python/Dockerfile,RUN,5
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver-python/Dockerfile,ENV,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver-python/Dockerfile,ARG,5
kubeflow/kubeflow,latest,/components/example-notebook-servers/codeserver-python/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio-tidyverse/Dockerfile,ARG,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio-tidyverse/Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio-tidyverse/Dockerfile,USER,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/rstudio-tidyverse/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,COPY,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,USER,4
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,EXPOSE,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,RUN,5
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,ENV,2
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,ARG,4
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch/cpu.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch/cpu.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch/cpu.Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch/cuda.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch/cuda.Dockerfile,ENV,3
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch/cuda.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-pytorch/cuda.Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/base/Dockerfile,SHELL,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/base/Dockerfile,USER,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/base/Dockerfile,RUN,5
kubeflow/kubeflow,latest,/components/example-notebook-servers/base/Dockerfile,ENV,8
kubeflow/kubeflow,latest,/components/example-notebook-servers/base/Dockerfile,ARG,4
kubeflow/kubeflow,latest,/components/example-notebook-servers/base/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow-full/cpu.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow-full/cpu.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow-full/cpu.Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow-full/cuda.Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow-full/cuda.Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-tensorflow-full/cuda.Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-scipy/Dockerfile,COPY,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-scipy/Dockerfile,FROM,1
kubeflow/kubeflow,latest,/components/example-notebook-servers/jupyter-scipy/Dockerfile,RUN,1
kubeflow/kubeflow,latest,/components/notebook-controller/Dockerfile,COPY,5
kubeflow/kubeflow,latest,/components/notebook-controller/Dockerfile,RUN,2
kubeflow/kubeflow,latest,/components/notebook-controller/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/notebook-controller/Dockerfile,ARG,1
kubeflow/kubeflow,latest,/components/notebook-controller/Dockerfile,WORKDIR,3
