repos,topic,total_dockerfiles,matching_image,all_images,dockerfiles,notags,base_images,purpose,docker_compose,compose_versions,compose_services,compose_networks,compose_volume,compose_env,other_dockerfiles,What,When,MLcomponent,Why,Maincomponent,Note
oap-project/raydp,mlops,1,{},{},{'/docker/Dockerfile'},0,{'/docker/Dockerfile': ['rayproject/ray:1.3.0']},"{'/docker/Dockerfile': {'Dependencies': 2, 'Build/Execute': 2, 'Filesystem': 1, 'Permissions': 1}}",0,{},{},{},{},{},1,,,,,,
rock-learning/bolero,application,2,{},{'af01/bolero_dependencies': ['latest']},"{'/docker/Dockerfile_CI', '/docker/Dockerfile'}",1,"{'/docker/Dockerfile': ['af01/bolero_dependencies'], '/docker/Dockerfile_CI': ['ubuntu:18.04']}","{'/docker/Dockerfile': {'Dependencies': 2, 'Filesystem': 2, 'Permissions': 2, 'Build/Execute': 1}, '/docker/Dockerfile_CI': {'Dependencies': 5, 'Build/Execute': 4, 'Filesystem': 1}}",0,{},{},{},{},{},1,,,,,,
cylondata/cylon,mlops,2,{},{},"{'/docker/ucx/Dockerfile', '/docker/basic/Dockerfile'}",0,"{'/docker/ucx/Dockerfile': ['ubuntu:20.04'], '/docker/basic/Dockerfile': ['ubuntu:20.04']}","{'/docker/ucx/Dockerfile': {'Dependencies': 9, 'Build/Execute': 8, 'Filesystem': 5}, '/docker/basic/Dockerfile': {'Build/Execute': 7, 'Dependencies': 6, 'Filesystem': 5, 'Permissions': 2}}",0,{},{},{},{},{},1,,,,,,
blakeblackshear/frigate-hass-integration,application,1,{},{},{'/docker/Dockerfile.dev'},0,{'/docker/Dockerfile.dev': ['mcr.microsoft.com/vscode/devcontainers/python:0-3.9']},"{'/docker/Dockerfile.dev': {'Dependencies': 1, 'Build/Execute': 1}}",1,{'/docker-compose.yml': '3'},"{'/docker-compose.yml': ['hass; homeassistant/home-assistant:beta', 'frigate; blakeblackshear/frigate:stable-amd64', 'mqtt; eclipse-mosquitto:1.6']}",{},{},{},1,,,,,,
YeoLab/flotilla,application,1,{},"{'mlovci/flotilla': ['dev', 'latest', 'latest2']}",{'/docker/master/Dockerfile'},1,{'/docker/master/Dockerfile': ['mlovci/anaconda_python']},"{'/docker/master/Dockerfile': {'Permissions': 2, 'Dependencies': 1, 'Build/Execute': 1}}",0,{},{},{},{},{},4,,,,,,
mlcommons/mlcube,mlops,0,{},{},set(),0,{},{},0,{},{},{},{},{},4,,,,,,
sacdallago/bio_embeddings,application,3,{},{},"{'/webserver/Dockerfile.worker', '/webserver/Dockerfile.webserver', '/Dockerfile'}",0,"{'/Dockerfile': ['ubuntu:20.04 as venv-build', 'nvidia/cuda:11.1-runtime-ubuntu20.04'], '/webserver/Dockerfile.worker': ['ubuntu:20.04 as venv-build', 'nvidia/cuda:11.1-runtime-ubuntu20.04'], '/webserver/Dockerfile.webserver': ['python:3.8-slim']}","{'/Dockerfile': {'Dependencies': 8, 'Build/Execute': 8, 'Filesystem': 5, 'Permissions': 1}, '/webserver/Dockerfile.worker': {'Build/Execute': 9, 'Dependencies': 8, 'Filesystem': 5, 'Permissions': 1}, '/webserver/Dockerfile.webserver': {'Dependencies': 3, 'Build/Execute': 2}}",2,"{'/webserver/docker-compose.dev.yml': '3.2', '/webserver/docker-compose.prod.yml': '3.1'}","{'/webserver/docker-compose.dev.yml': ['bio_embeddings_worker; ghcr.io/bioembeddings/worker', 'bio_embeddings_webserver; ghcr.io/bioembeddings/webserver', 'nginx; nginx:1-alpine', 'mongo; mongo:4', 'rabbitmq; rabbitmq:3-alpine'], '/webserver/docker-compose.prod.yml': ['mongo; mongo:4', 'rabbitmq; rabbitmq:3-alpine', 'bio_embeddings_worker; ghcr.io/bioembeddings/worker', 'bio_embeddings_webserver; ghcr.io/bioembeddings/webserver']}","{'/webserver/docker-compose.dev.yml': {'bio_embeddings': None}, '/webserver/docker-compose.prod.yml': {'bio_embeddings': None}}",{},"{'/webserver/docker-compose.dev.yml': 7, '/webserver/docker-compose.prod.yml': 6}",3,,,,,,
spiceai/spiceai,DL framwork,1,{},{},{'/docker/Dockerfile'},0,"{'/docker/Dockerfile': ['node:16 as dashboard', 'golang AS build', 'python:3.8.12-slim']}","{'/docker/Dockerfile': {'Build/Execute': 7, 'Dependencies': 4}}",0,{},{},{},{},{},4,"Web UI, dashboard, build, entrypoint, data management, host model, host code/ app",Development/ distribution,"Data, Model, Code",,,
xaynetwork/xaynet,Machine Learning,2,{},{},"{'/.github/workflows/dockerfile-validation.yml', '/docker/Dockerfile'}",0,"{'/docker/Dockerfile': ['buildpack-deps:stable-curl AS builder', 'ubuntu:20.04']}","{'/docker/Dockerfile': {'Dependencies': 5, 'Filesystem': 4, 'Build/Execute': 3}, '/.github/workflows/dockerfile-validation.yml': {}}",1,{'/docker/docker-compose.yml': '3.8'},"{'/docker/docker-compose.yml': ['coordinator; xaynetwork/xaynet:development', 'influxdb; influxdb:1.8', 'minio; minio/minio', 'redis; redis:6']}",{'/docker/docker-compose.yml': {'xaynet': None}},{'/docker/docker-compose.yml': 3},{'/docker/docker-compose.yml': 3},8,,,,,,
petuum/autodist,mlops,1,{},{},{'/docker/Dockerfile.gpu'},0,{'/docker/Dockerfile.gpu': ['tensorflow/tensorflow:${TF_IMAGE_TAG}']},"{'/docker/Dockerfile.gpu': {'Filesystem': 12, 'Dependencies': 10, 'Build/Execute': 6, 'Environment': 1}}",0,{},{},{},{},{},1,,,,,,
robotology/gym-ignition,DL framwork,4,{},{},"{'/.docker/cicd-master.Dockerfile', '/.docker/cicd-devel.Dockerfile', '/.docker/Dockerfile', '/.docker/base.Dockerfile'}",0,"{'/.docker/cicd-devel.Dockerfile': ['${from}'], '/.docker/base.Dockerfile': ['${from}'], '/.docker/Dockerfile': ['${from}'], '/.docker/cicd-master.Dockerfile': ['${from}']}","{'/.docker/cicd-devel.Dockerfile': {'Filesystem': 8, 'Dependencies': 6, 'Build/Execute': 2, 'Permissions': 2}, '/.docker/base.Dockerfile': {'Dependencies': 17, 'Filesystem': 5, 'Build/Execute': 5, 'Environment': 1}, '/.docker/Dockerfile': {'Dependencies': 4, 'Build/Execute': 3, 'Filesystem': 1, 'Environment': 1}, '/.docker/cicd-master.Dockerfile': {'Dependencies': 4, 'Filesystem': 2, 'Permissions': 2, 'Build/Execute': 1}}",1,{'/.docker/docker-compose.yml': '3.0'},"{'/.docker/docker-compose.yml': ['base; diegoferigo/gym-ignition:base', 'ci-master; diegoferigo/gym-ignition:ci-master', 'pypi-master; diegoferigo/gym-ignition:pypi-master', 'ci-devel; diegoferigo/gym-ignition:ci-devel', 'pypi-devel; diegoferigo/gym-ignition:pypi-devel', 'latest; diegoferigo/gym-ignition:latest', 'nightly; diegoferigo/gym-ignition:nightly']}",{},{},{},2,,,,,,
PINTO0309/tflite2tensorflow,mlops,1,{},{},{'/Dockerfile'},0,{'/Dockerfile': ['nvidia/cuda:11.4.2-cudnn8-devel-ubuntu20.04']},"{'/Dockerfile': {'Dependencies': 82, 'Filesystem': 51, 'Build/Execute': 48, 'Permissions': 6, 'Environment': 2}}",0,{},{},{},{},{},1,,,,,,
equinor/gordo,mlops,1,{},{},{'/Dockerfile'},0,"{'/Dockerfile': ['python:3.7.11-buster as builder', 'python:3.7.10-slim-buster']}","{'/Dockerfile': {'Dependencies': 10, 'Filesystem': 9, 'Build/Execute': 6, 'Permissions': 6}}",0,{},{},{},{},{},3,,,,,,
