Topic,Repos,ProjectID,fileType,Sharedfiles
ToolKit,IBM/fhe-toolkit-linux,P3,.vim,1
ToolKit,IBM/fhe-toolkit-linux,P3,.cmake,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pm,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pl,0
ToolKit,IBM/fhe-toolkit-linux,P3,.js,10
ToolKit,IBM/fhe-toolkit-linux,P3,none,3
ToolKit,IBM/fhe-toolkit-linux,P3,.json,2
ToolKit,IBM/fhe-toolkit-linux,P3,.d.1,2
ToolKit,IBM/fhe-toolkit-linux,P3,.js.1,2
ToolKit,IBM/fhe-toolkit-linux,P3,.md,2
ToolKit,IBM/fhe-toolkit-linux,P3,none,2
ToolKit,IBM/fhe-toolkit-linux,P3,.rst,1
ToolKit,IBM/fhe-toolkit-linux,P3,.vim,1
ToolKit,IBM/fhe-toolkit-linux,P3,.cmake,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pm,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pl,0
ToolKit,IBM/fhe-toolkit-linux,P3,none,3
ToolKit,IBM/fhe-toolkit-linux,P3,.rst,1
ToolKit,IBM/fhe-toolkit-linux,P3,.vim,1
ToolKit,IBM/fhe-toolkit-linux,P3,.cmake,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pm,1
ToolKit,IBM/fhe-toolkit-linux,P3,.xml,0
ToolKit,IBM/fhe-toolkit-linux,P3,none,2
ToolKit,IBM/fhe-toolkit-linux,P3,.rst,1
ToolKit,IBM/fhe-toolkit-linux,P3,.vim,1
ToolKit,IBM/fhe-toolkit-linux,P3,.cmake,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pm,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pl,0
ToolKit,IBM/fhe-toolkit-linux,P3,.js,10
ToolKit,IBM/fhe-toolkit-linux,P3,none,3
ToolKit,IBM/fhe-toolkit-linux,P3,.json,2
ToolKit,IBM/fhe-toolkit-linux,P3,.d.1,2
ToolKit,IBM/fhe-toolkit-linux,P3,.js.1,2
ToolKit,IBM/fhe-toolkit-linux,P3,.md,2
ToolKit,shogun-toolbox/shogun,P1,none,10
ToolKit,shogun-toolbox/shogun,P1,.png,7
ToolKit,shogun-toolbox/shogun,P1,.mo,3
ToolKit,shogun-toolbox/shogun,P1,.pm,2
ToolKit,shogun-toolbox/shogun,P1,.symbolic.1,2
ToolKit,shogun-toolbox/shogun,P1,.rst,2
Documentation,prabhuomkar/pytorch-cpp,P2,none,20
Documentation,prabhuomkar/pytorch-cpp,P2,.rst,3
Documentation,prabhuomkar/pytorch-cpp,P2,.cmake,2
Documentation,prabhuomkar/pytorch-cpp,P2,.pm,1
Documentation,prabhuomkar/pytorch-cpp,P2,.pl,1
Documentation,prabhuomkar/pytorch-cpp,P2,.Debian.1,0
Model,araffin/rl-baselines-zoo,P1,none,3
Model,araffin/rl-baselines-zoo,P1,.rst,2
Model,araffin/rl-baselines-zoo,P1,.pm,1
Model,araffin/rl-baselines-zoo,P1,.cmake,1
Model,araffin/rl-baselines-zoo,P1,.xml,1
Model,araffin/rl-baselines-zoo,P1,.pl,1
Model,IntelAI/models,P3,none,2
Model,IntelAI/models,P3,.pm,2
Model,IntelAI/models,P3,.pl,1
Model,IntelAI/models,P3,.xml,1
Model,IntelAI/models,P3,.rst,1
Model,IntelAI/models,P3,.Debian.1,0
Model,IntelAI/models,P3,none,1
Model,IntelAI/models,P3,.Debian.1,1
Model,IntelAI/models,P3,.crt,1
Model,IntelAI/models,P3,.pm,0
Model,IntelAI/models,P3,.py,0
Model,IntelAI/models,P3,.json,0
AutoML,autogoal/autogoal,P2,none,5
AutoML,autogoal/autogoal,P2,.vim,1
AutoML,autogoal/autogoal,P2,.pm,1
AutoML,autogoal/autogoal,P2,.pl,1
AutoML,autogoal/autogoal,P2,.mo,1
AutoML,autogoal/autogoal,P2,.Debian.1,1
Documentation,JdeRobot/RoboticsAcademy,P1,.svg,7
Documentation,JdeRobot/RoboticsAcademy,P1,.png,3
Documentation,JdeRobot/RoboticsAcademy,P1,none,3
Documentation,JdeRobot/RoboticsAcademy,P1,.xml,1
Documentation,JdeRobot/RoboticsAcademy,P1,.Debian.1,1
Documentation,JdeRobot/RoboticsAcademy,P1,.cmake,1
Model,alexandrainst/danlp,P0,.tfm,17
Model,alexandrainst/danlp,P0,.vf,7
Model,alexandrainst/danlp,P0,.svg,6
Model,alexandrainst/danlp,P0,none,5
Model,alexandrainst/danlp,P0,.pfb,2
Model,alexandrainst/danlp,P0,.mf,2
MLops,kubeflow/kubeflow,P0,.alpinelinux.1.2.3,4
MLops,kubeflow/kubeflow,P0,none,0
MLops,bentoml/BentoML,P1,none,20
MLops,bentoml/BentoML,P1,.pm,2
MLops,bentoml/BentoML,P1,.xml,1
MLops,bentoml/BentoML,P1,.pl,1
MLops,bentoml/BentoML,P1,.crt,1
MLops,bentoml/BentoML,P1,.tmpl,0
MLops,bentoml/BentoML,P1,none,4
MLops,bentoml/BentoML,P1,.mo,2
MLops,bentoml/BentoML,P1,.pm,1
MLops,bentoml/BentoML,P1,.xml,1
MLops,bentoml/BentoML,P1,.pl,1
MLops,bentoml/BentoML,P1,.gz,1
MLops,bentoml/BentoML,P1,none,20
MLops,bentoml/BentoML,P1,.pm,2
MLops,bentoml/BentoML,P1,.xml,1
MLops,bentoml/BentoML,P1,.pl,1
MLops,bentoml/BentoML,P1,.crt,1
MLops,bentoml/BentoML,P1,.tmpl,0
MLops,bentoml/BentoML,P1,none,4
MLops,bentoml/BentoML,P1,.mo,2
MLops,bentoml/BentoML,P1,.pm,1
MLops,bentoml/BentoML,P1,.xml,1
MLops,bentoml/BentoML,P1,.pl,1
MLops,bentoml/BentoML,P1,.gz,1
MLops,SeldonIO/seldon-core,P3,none,16
MLops,SeldonIO/seldon-core,P3,.pm,3
MLops,SeldonIO/seldon-core,P3,.pl,2
MLops,SeldonIO/seldon-core,P3,.xml,2
MLops,SeldonIO/seldon-core,P3,.mo,1
MLops,SeldonIO/seldon-core,P3,.gz,1
MLops,tensorflow/tfx,P4,.svg,3
MLops,tensorflow/tfx,P4,none,1
MLops,tensorflow/tfx,P4,.pm,0
MLops,tensorflow/tfx,P4,.pl,0
MLops,tensorflow/tfx,P4,.Debian.1,0
MLops,tensorflow/tfx,P4,.png,0
MLops,tensorflow/tfx,P4,none,3
MLops,tensorflow/tfx,P4,.svg,2
MLops,tensorflow/tfx,P4,.pm,1
MLops,tensorflow/tfx,P4,.sty,1
MLops,tensorflow/tfx,P4,.pl,1
MLops,tensorflow/tfx,P4,.po,1
